2026-03-22 16:08:06 | INFO     | [20260322_160806] CALL_STARTED — redis=yes | rag_chunks=4
2026-03-22 16:08:11 | INFO     | [20260322_160806] CALLER_SPOKE — text=Hello.
2026-03-22 16:08:12 | INFO     | [20260322_160806] AI_SPOKE — text=Hi, this is Priya from BluQQ! How can I help you today?
2026-03-22 16:08:23 | INFO     | [20260322_160806] AI_SPOKE — text=Right now, I’m here to help you with anything related to our services—whether it's about trading bot
2026-03-22 16:08:24 | INFO     | [20260322_160806] CALLER_SPOKE — text=Go Diary.
2026-03-22 16:08:37 | INFO     | [20260322_160806] CALLER_SPOKE — text=Okay.
2026-03-22 16:08:37 | INFO     | [20260322_160806] AI_SPOKE — text=Great! Is there a particular service you're interested in learning more about?
2026-03-22 16:08:52 | INFO     | [20260322_160806] CALLER_SPOKE — text=I am interested in build AI trading automation.
2026-03-22 16:08:53 | INFO     | [20260322_160806] AI_SPOKE — text=Absolutely, we offer AI-powered trading bots that can automate your trades based on your strategies.
2026-03-22 16:08:59 | INFO     | [20260322_160806] CALLER_SPOKE — text=And I am also interested in
2026-03-22 16:08:59 | INFO     | [20260322_160806] AI_SPOKE — text=Got it! AI trading automation and dashboards—both are right up our alley. Do you have any specific
2026-03-22 16:09:18 | INFO     | [20260322_160806] CALLER_SPOKE — text=Okay. 
2026-03-22 16:09:19 | INFO     | [20260322_160806] AI_SPOKE — text=No worries! We can definitely explore both options and see what's the best fit for you. Would you li
2026-03-22 16:09:35 | INFO     | [20260322_160806] CALLER_SPOKE — text=Your voice is not proper. How to fix it?
2026-03-22 16:09:37 | INFO     | [20260322_160806] CALLER_SPOKE — text=Bye. 
2026-03-22 16:09:37 | INFO     | [20260322_160806] AI_SPOKE — text=I’m really sorry if it’s not coming through clearly. Maybe it’s a network issue. Would you like me t
2026-03-22 16:20:50 | INFO     | [20260322_160806] CALL_ENDED — duration=12:44 | turns=0 | errors=0
